Date,Year,Open,High,Low,Close,Volume,Adj Close
23-03-2021,2021,225.2566681,225.9333344,219.1699982,220.7200012,91475700,220.7200012
24-03-2021,2021,222.636673,222.6733398,210.0366669,210.0899963,101385600,210.0899963
25-03-2021,2021,204.3333282,215.1666718,203.1666718,213.4633331,117674700,213.4633331
26-03-2021,2021,213.956665,214.6066742,199.9633331,206.2366638,101558400,206.2366638
29-03-2021,2021,205.2133331,205.4933319,198.6733398,203.7633362,85911000,203.7633362
30-03-2021,2021,200.5833282,212.5533295,197.0033264,211.8733368,118297200,211.8733368
31-03-2021,2021,215.5399933,224,213.7033386,222.6433258,100011900,222.6433258
01-04-2021,2021,229.456665,230.8066711,219.8066711,220.5833282,105895200,220.5833282
05-04-2021,2021,235.9033356,236.0533295,228.2333374,230.3500061,125528400,230.3500061
06-04-2021,2021,230.1000061,232.1833344,227.1233368,230.5399933,84815400,230.5399933
07-04-2021,2021,229,230.4600067,222.613327,223.656662,78928200,223.656662
08-04-2021,2021,225.793335,229.8500061,223.8833313,227.9333344,71772900,227.9333344
09-04-2021,2021,225.9233398,226.9900055,223.1433258,225.6733398,64311300,225.6733398
12-04-2021,2021,228.5666656,234.9333344,227.363327,233.9933319,87407100,233.9933319
13-04-2021,2021,237.5666656,254.3333282,236.886673,254.1066742,133958400,254.1066742
